ASN,Organization
22689,Internet by Sercomtel
22884,TOTAL PLAY TELECOMUNICACIONES AS22884
22925,Allied Telecom Group
22927,Telefonica de Argentina
23031,TELECU AS23031
23155,HARRISONVILLE TELEPHONE
23481,Hill Country Telephone Cooperative Inc.
23624,Chukai Cable Television System Operator
23673,Cogetel Ltd Online ISP Cambodia
23674,Nayatel
23688,Link3 Technologies Limited
23693,Telekomunikasi Selular
23724,IDC China Telecommunications Corporation
23752,Nepal Telecom
23764,CTGNet
23856,SPTEL AS23856
23888,National Telecommunication Corporation HQ
23889,Mauritius Telecom Ltd
23953,ARTHA TELEKOMINDO
23966,LINKdotNET Telecom
23969,NT Broadband ISP
24086,Viettel Corporation
24088,Hanoi Telecom
24122,BDCOM Online
24138,China Tietong
24157,Taiwan Star Telecom Corporation Limited.
24158,Taiwan Mobile Co. Ltd.
24186,Railtel Corporation Of India
24232,Virtela Technology Services AS24232
24337,Sky Telecom
24400,Shanghai Mobile Communications Co.Ltd.
24444,Shandong Mobile Communication Company Limited
24445,Henan Mobile Communications Co.Ltd
24499,Telenor Pakistan
24516,Virtutel
24530,PT. Power Telecom
24545,HKTEL
24547,Hebei Mobile Communication Company Limited
24559,G-Mobile
24560,Bharti Airtel Ltd. Telemedia Services
24589,Telenet SIA
24626,Joint Stock Company TransTeleCom
24645,CSC Telecom
24651,Balticom
24663,COMPLAT-TELECOM
24691,Togocom
24699,PJSC Rostelecom
24739,Severen-Telecom
24744,SiNET Telecom s.r.o.
24757,Ethio Telecom
24810,TELESET KAZAN
24872,MAGNUS NG LLC
24921,Latvijas Mobilais Telefons AS24921
24945,Telecommunication Company Vinteleport Ltd.
24978,Telenec Telekommunikation Neustadt GmbH
25019,Saudi Telecom Company (STC SAUDINET)
25082,Viner Telecom LLC
25106,Mobile TeleSystems
25117,Bouygues Telecom Business-Distribution
25135,Vodafone UK Packet Backbone
25144,'Telekomunikacije Republike Srpske' akcionarsko drustvo Banja Luka
25159,SONICDUO
25227,Avantel Moscow
25229,Volia
25250,Gamtel Co.
25299,Kompeatelecom Ltd.
25328,HEP-TELEKOMUNIKACIJE
25369,Hydra Communications Ltd (EU)
25386,Inter-Telecom LLC
25400,Telia Norge
25447,JM-DATA Telekom GmbH
25472,WIND HELLAS TELECOMMUNICATIONS
25490,PJSC Rostelecom
25512,CD-Telematika a.s.
25513,MGTS
25515,PJSC Rostelecom
25520,JSC 'Futures Telecom'
25531,PJSC Rostelecom
25543,ONATEL (Office National des Telecommunications PTT)
25549,JSC Avantel
25671,Wholesale Air-time
25853,Ellijay Telephone Company
25880,Public joint-stock company 'RUTELEKOM'
25892,VTX Telecom
25933,Vogel Telecom
26599,TELEFÔNICA BRASIL AS26599
26609,Universal Telecom Ltda.
26703,Kalona Cooperative Telephone Company
26727,Brandenburg Telephone Company
26860,SWIFTEL COMMUNICATIONS
27221,Ardmore Telephone Company Inc
27425,IdeaTek Telcom
27539,West River Telecommunications Cooperative
27651,entel MPLS
27660,Curacao Telecom
27672,SERVICIO Y EQUIPO EN TELEFONÍA INTERNET Y TV S.A. DE C.V.
27680,TELEFONICA MOVIL DE CHILE S.A.
27699,TELEFÔNICA BRASIL AS27699
27717,Corporacion Digitel AS27717
27720,Citta Telecom
27725,Empresa de Telecomunicaciones de Cuba S.A
27738,Ecuadortelecom
27742,Amnet Telecomunicaciones
27747,Telecentro
27757,CORPORACION NACIONAL DE TELECOMUNICACIONES CNT EP
27763,ANDITEL S.A.S.
27775,TeleSur Suriname
27792,Wiltel Comunicaciones
27813,Teledifusora
27879,Informática y Telecomunicaciones S.A.
27882,Telefónica Celular de Bolivia
27887,WIND Telecom S.A.
27889,Telecomunicaciones MOVILNET
27895,Núcleo S.A. PY
27923,COMPAÑIA DE TELEVISION VIA SATELITE
27925,entel PCS
27932,Reytel
27947,Telconet Ecuador
27948,27948
27960,Coop. de Obras y Serv. Púb. Ltda. de Río Tercero
27979,Stel Chile
27984,TeleRed
27988,Servicios y Telecomunicaciones
28006,CNT EP
28009,Da.Vi.Tel. S.A.
28024,Nuevatel PCS de Bolivia
28036,Telefonia Celular de Nicaragua SA.
28048,Internet Para Todos
28066,Cooperativa Telefonica Mariano Acosta
28126,Brisanet Servicos de Telecomunicacoes
28130,Certto Telecomunicações
28131,NET.COM TELECOMUNICAÇOES
28132,Tri Telecom
28140,Maxiweb Internet Provider
28142,DIGITAL DESIGN SERVIÇOS DE TELECOMUNICAÇÕES
28145,RLINE Telecom
28146,Mhnet Telecom
28154,AR TELECOM PROVEDOR DE INTERNET
28158,Ampernet Telecom
28166,Telecom South America
28171,S.O. DO BRASIL TELECOM
28173,Dinâmica Telecom
28178,NWI Telecom
28184,Interjato Serviços de Telecomunicações
28186,ITS Telecomunicações
28187,Stratus Telecomunicacoes
28191,Jupiter Telecom
28198,Sempre Internet
28201,VALENET
28213,LCI Telecom
28219,NetRosas Telecom
28220,Cabo Telecom
28223,Linca Telecomunicações
28224,CPNET Com. e Serv. Telecomunicações Ltda
28225,Provedornet Telecom. e Serviços de Internet Ltda
28226,Avvio Telecom
28227,NOVACIA TECNOLOGIA E TELECOMUNICACOES
28247,Intercampo Telecom
28250,Telbrax
28252,WorldNet Telecom
28264,ADLLink Telecom
28267,IMAXXTELECOM
28270,Multiplay Telecom
28277,VMAX
28279,Telgo Telecom
28283,Adyl Telecom - AS28283
28285,Beltrãonet Telecomunicações
28287,Fit Telecom - Americanet
28292,Engeplus Telecom
28305,LGTEL61 INTERNET
28306,Voluy Telecom
28308,ORION TELECOMUNICAÇÕES COM E SERV
28309,WGO TELECOM
28323,VIPRede Telecomunicações
28326,Total Telecom
28334,PROCESS TELECOM
28343,Unifique Telecomunicações
28359,ZAAZ PROVEDOR DE INTERNET E TELECOMUNICACOES S.A
28360,WKVE Telecom
28368,SOBRALNET SERVIÇOS E TELECOMUNICACOES LTDA - ME
28378,TV Rey de Occidente
28394,Bicentel SA de CV (C3ntro Telecom)
28398,INTERNET TELEFONIA Y TV DE MICHOACAN SA DE CV
28414,TOTAL PLAY TELECOMUNICACIONES SA DE CV
28428,INTERPHONET TELECOM SA DE CV
28432,Telecable del Mineral
28439,Mediared Telecomunicaciones S.A de C.V.
28458,IENTC Telecom Mexico
28481,SERVICIO Y EQUIPO EN TELEFONÍA INTERNET Y TV S.A. DE C.V.
28509,izzi telecom (AS28509)
28512,Cablemas Telecomunicaciones SA de CV
28530,Mexico Red de Telecomunicaciones S. de R.L. de C.V.
28531,Mexico Red de Telecomunicaciones S. de R.L. de C.V.
28532,Mexico Red de Telecomunicaciones S. de R.L. de C.V.
28533,Mexico Red de Telecomunicaciones S. de R.L. de C.V.
28534,Mexico Red de Telecomunicaciones S. de R.L. de C.V.
28535,Mexico Red de Telecomunicaciones S. de R.L. de C.V.
28536,Mexico Red de Telecomunicaciones S. de R.L. de C.V.
28537,Mexico Red de Telecomunicaciones S. de R.L. de C.V.
28545,izzi telecom (AS28545)
28548,izzi telecom (AS28548)
28554,izzi telecom (AS28554)
28555,Cablemas Telecomunicaciones SA de CV
28573,Claro S.A. (NET)
28577,AZEVEDO E FLORIANI TELECOMUNICAÇÕES
28599,Italnet Telecomunicações Ltda
28613,HUGHES TELECOMUNICACOES DO BRASIL LTDA.
28615,Televisao Cidade S/A (SIMTV)
28618,Linktel Telecomunicacoes
28635,Younet Internet
28638,CENTRO OESTE TELECOM EIRELI
28640,VIPWAY Telecom
28652,Telecomunicações Nordeste Ltda.
28656,Blink Telecom
28667,NETWORK TELECOMUNICACOES S.A.
28676,WITCOM
28685,RoutIT B.V.
28716,Retelit Spa
28745,Joint Stock Company TransTeleCom
28769,Joint Stock Company TransTeleCom
28775,OOO TRANSTELECOM
28787,Baku Telephone Communication LLC
28840,PJSC 'TATTELECOM'
28852,Telefonaktiebolaget L M Ericsson
28885,Oman Telecommunications Company (S.A.O.G)
28890,INSYS LLC
28891,City Telecom
28964,Orion Telekom Tim d.o.o.Beograd
28968,EUT
28994,Sitel Ltd
29003,IP TELECOM Portugal
29013,Link Telecom Ukraine AS29013
29030,Telekabel AD
29031,Lugansk Telephone Company
29039,ECHOTEL Proprietary Uganda
29049,Delta Telecom
29056,Citycom Telekommunikation
29061,Saimanet Telecomunications
29069,PJSC Rostelecom
29072,Regional Digital Telecommunication Company LLC
29124,Seven Sky
